number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_for_bin,params_subsample_freq,state
99,0.691998964267219,2021-08-21 15:12:31.972799,2021-08-21 15:13:28.339611,0 days 00:00:56.366812,0.7225345377865173,4,3,31,3.418509171051597,0.009005245606018057,0.7858299054862191,1537,6,COMPLETE
100,0.6895390989124806,2021-08-21 15:13:28.340834,2021-08-21 15:14:21.697698,0 days 00:00:53.356864,0.7383554513237792,4,3,31,0.8180110906123526,0.033433018049067245,0.7900319388674399,1533,5,COMPLETE
101,0.6866908337648886,2021-08-21 15:14:21.699046,2021-08-21 15:15:03.342435,0 days 00:00:41.643389,0.7125664581622378,4,4,31,3.8161512769151114,0.008720344982525552,0.7013067525186475,1153,6,COMPLETE
102,0.692128430864837,2021-08-21 15:15:03.344097,2021-08-21 15:16:00.956391,0 days 00:00:57.612294,0.8270670747590754,4,4,28,1.5699164683684041,0.0014499877215511346,0.7656745900347874,1906,6,COMPLETE
103,0.6897980321077163,2021-08-21 15:16:00.957911,2021-08-21 15:16:55.840990,0 days 00:00:54.883079,0.8190858480644201,4,3,28,1.5818504023942743,0.006701011265177907,0.7718847844821515,1347,6,COMPLETE
104,0.6865613671672708,2021-08-21 15:16:55.842328,2021-08-21 15:17:54.652712,0 days 00:00:58.810384,0.8354249801636758,4,4,29,1.003014202811196,0.0010993408499013044,0.8030391222945489,1907,6,COMPLETE
105,0.6885033661315381,2021-08-21 15:17:54.653968,2021-08-21 15:18:50.533994,0 days 00:00:55.880026,0.789711221161037,5,19,30,1.9509374582050025,0.0026548331295877664,0.8197638314650825,1240,7,COMPLETE
106,0.6860435007767997,2021-08-21 15:18:50.535931,2021-08-21 15:19:38.108285,0 days 00:00:47.572354,0.7707055073619503,4,22,29,6.593105269178482,0.014332426804801705,0.7826955047533283,1899,7,COMPLETE
107,0.6853961677887105,2021-08-21 15:19:38.110018,2021-08-21 15:20:50.268913,0 days 00:01:12.158895,0.8974190973927413,5,2,9,0.6410897022583023,0.005064414110246734,0.8151045263170537,2299,6,COMPLETE
108,0.6873381667529778,2021-08-21 15:20:50.270343,2021-08-21 15:21:32.603551,0 days 00:00:42.333208,0.8598329272778691,4,6,28,0.3535750531621776,0.0008147277847146125,0.7302510032557394,885,5,COMPLETE
109,0.6872087001553598,2021-08-21 15:21:32.605249,2021-08-21 15:22:29.143717,0 days 00:00:56.538468,0.8009209030061548,4,7,30,2.490795452595619,0.00045007220288261146,0.8351423065173099,1696,6,COMPLETE
110,0.696271361988607,2021-08-21 15:22:29.145124,2021-08-21 15:23:19.340865,0 days 00:00:50.195741,0.6718738669072332,4,11,30,1.4355265177791907,0.022004082219519473,0.8402921531406478,1506,7,COMPLETE
111,0.6866908337648886,2021-08-21 15:23:19.343087,2021-08-21 15:24:07.122452,0 days 00:00:47.779365,0.6770806003703322,4,12,30,1.4325321405163387,3.872539269542606e-07,0.8657154643382138,1510,7,COMPLETE
112,0.6910926980838944,2021-08-21 15:24:07.123976,2021-08-21 15:24:59.335688,0 days 00:00:52.211712,0.6513885778565891,4,10,29,4.426474776937474,0.023807587744454732,0.7611901536644721,2179,7,COMPLETE
113,0.6886328327291558,2021-08-21 15:24:59.336942,2021-08-21 15:25:51.265047,0 days 00:00:51.928105,0.702019637454443,4,11,31,4.037356174354631,0.36709822860257835,0.665278282299795,2111,7,COMPLETE
114,0.6847488348006214,2021-08-21 15:25:51.269785,2021-08-21 15:26:47.987489,0 days 00:00:56.717704,0.6677797809252629,4,11,6,2.667088041125134,0.11229913252362456,0.7602233959560508,1840,7,COMPLETE
115,0.6807353702744692,2021-08-21 15:26:47.990275,2021-08-21 15:27:25.024428,0 days 00:00:37.034153,0.6528198209038447,4,13,29,1.1306500693521455,0.023191956246115513,0.400825823109606,1613,6,COMPLETE
116,0.6822889694458829,2021-08-21 15:27:25.026078,2021-08-21 15:28:15.051735,0 days 00:00:50.025657,0.6361522886355178,4,10,28,9.707279572952748,0.010659354889304607,0.7215131724498278,1104,8,COMPLETE
